Fri Jan  7 22:05:01 2022    output.dat

         9052155 function calls (8694985 primitive calls) in 48.670 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5908    0.008    0.000    0.054    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:1815(_gather_comments)
      672    0.008    0.000    0.009    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:1071(analyze_scalar)
     7639    0.008    0.000    0.008    0.000 {built-in method width}
     1843    0.007    0.000    0.010    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:686(outOfPixmap)
        1    0.007    0.007    0.007    0.007 {fromImage}
      123    0.007    0.000    0.007    0.000 {built-in method setHtml}
     2579    0.007    0.000    0.016    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:289(<listcomp>)
      669    0.007    0.000    0.009    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:1641(write_plain)
     3256    0.006    0.000    0.006    0.000 {built-in method scale}
      418    0.006    0.000    0.019    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:1540(scan_plain)
     3963    0.006    0.000    0.045    0.000 <__array_function__ internals>:177(argmin)
        1    0.006    0.006    0.006    0.006 {built-in method restoreState}
        1    0.006    0.006    0.006    0.006 {built-in method _codecs.utf_8_decode}
     3976    0.006    0.000    0.071    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:1791(check_token)
    39146    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
        3    0.006    0.002    0.006    0.002 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\segmentation_macro.py:425(__init__)
     5038    0.006    0.000    0.314    0.000 <__array_function__ internals>:177(cross)
      596    0.006    0.000    0.075    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:557(boundedMoveVertex)
        3    0.005    0.002    0.134    0.045 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\utils\image.py:24(img_b64_to_arr)
    744/3    0.005    0.000    0.060    0.020 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\serializer.py:153(serialize_node)
      123    0.005    0.000    0.027    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\label_list_widget.py:15(paint)
      123    0.005    0.000    0.005    0.000 {built-in method drawControl}
     4382    0.005    0.000    0.005    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:168(drawing)
    10081    0.005    0.000    0.005    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\numeric.py:1466(<listcomp>)
7584/2626    0.005    0.000    0.007    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\json\encoder.py:277(_iterencode_list)
       69    0.005    0.000    0.005    0.000 {built-in method nt.stat}
       85    0.005    0.000    0.020    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\tool_bar.py:15(addAction)
     3052    0.004    0.000    0.059    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:3764(round_)
     2313    0.004    0.000    0.005    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\reader.py:166(forward)
     5038    0.004    0.000    0.004    0.000 {built-in method numpy.promote_types}
     9759    0.004    0.000    0.004    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:134(isClosed)
     3436    0.004    0.000    0.024    0.000 {method 'min' of 'numpy.ndarray' objects}
     5043    0.004    0.000    0.004    0.000 {built-in method numpy.empty}
    12002    0.004    0.000    0.004    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:332(next_possible_simple_key)
        1    0.004    0.004    0.004    0.004 {fromData}
      605    0.004    0.000    0.004    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
        8    0.004    0.000    0.004    0.000 {built-in method io.open}
     2575    0.004    0.000    0.004    0.000 {built-in method contains}
